country,category,brand_name,wikidata_id,opening_rule,opening_hours,description,source_url,opening_hours_url
AT,bakery,Anker,Q557116,,,,,
AT,bakery,Ströck,Q2357607,,,,,
AT,bank,Bank Austria,Q697619,,,,,
AT,bank,BAWAG PSK,Q379938,,,,,
AT,bank,Erste Bank,Q696867,,,,,
AT,bank,Oberbank,Q2009139,,,,,
AT,bank,Raiffeisenbank,Q24282825,,,,,
AT,bank,Sparkasse,,,,,,
AT,bank,Volksbank,Q695110,,,,,
AT,car_repair,ARBÖ,Q784673,,,,,
AT,car_repair,ÖAMTC,Q306057,,,,,
AT,chemist,dm,Q266572,,,,,
AT,doityourself,Lagerhaus,Q10553211,,,,,
AT,fastfood,McDonald's,Q38076,,,,,
AT,fuel,Avanti,Q168238,,,,,
AT,fuel,BP,Q152057,,,,,
AT,fuel,Eni,Q565594,,,,,
AT,fuel,Jet,Q568940,,,,,
AT,fuel,OMV,Q168238,,,,,
AT,fuel,Shell,Q154950,,,,,
AT,fuel,Turmöl,Q1473279,,,,,
AT,pet,Fressnapf,Q875796,,,,,
AT,post_office,Österreichische Post AG,Q1763505,,,,,
AT,supermarket,Billa,Q537781,,,,,
AT,supermarket,Bipa,Q864933,,,,,
AT,supermarket,Eurospar,Q12309283,,,,,
AT,supermarket,Hofer,Q15815751,,,,,
AT,supermarket,Lidl,Q151954,,,,,
AT,supermarket,Merkur,Q1921857,,,,,
AT,supermarket,MPREIS,Q873491,,,,,
AT,supermarket,Penny,Q284688,,,,,
AT,supermarket,Spar,Q610492,,,,,
CH,bakery,Brezelkönig,,open,,,,https://brezelkoenig.ch/de/standorte/?Format=11
CH,bakery,Frei,,open,,,https://www.baeckerei-frei.ch,https://www.baeckerei-frei.ch/de-ch/filialen-standorte-cafe.html
CH,bakery,Hausammann Zopfbeck,,open,,,http://www.zopfbeck.ch/,http://www.zopfbeck.ch/
CH,bakery,Hug,,open,,,https://www.baeckerei-hug.ch,https://www.baeckerei-hug.ch/filialen/standorte/
CH,bakery,Kleiner,,open,,,https://kleiner-baeckerei.ch,https://kleiner-baeckerei.ch/standorte/
CH,bakery,Steiner Beck,,partial,,,https://www.steiner-beck.ch/news-coronavirus/,https://www.steiner-beck.ch/filialen/
CH,bakery,Voland,,open,,,https://www.baumerfladen.ch/,https://www.baumerfladen.ch/filialen
CH,bakery,Wüst,,open,,,https://baeckereiwuest.ch/,https://baeckereiwuest.ch/filialen
CH,bank,Aargauische Kantonalbank,Q301269,open,,,https://www.akb.ch/coronavirus,https://www.akb.ch
CH,bank,Appenzeller Kantonalbank,Q620963,partial,,,https://www.appkb.ch/private/NEWSID-926,https://www.appkb.ch
CH,bank,Avera,Q1101061,partial,,,https://bank-avera.ch/ueber-uns/publikationen/reduzierter-filialbetrieb,https://bank-avera.ch
CH,bank,Basellandschaftliche Kantonalbank,Q809931,open,,,https://www.blkb.ch/,https://www.blkb.ch/
CH,bank,Basler Kantonalbank,Q810408,open,,,https://www.bkb.ch/de/privatkunden/aktuelle-situation-rund-um-das-coronavirus,https://www.bkb.ch
CH,bank,Berner Kantonalbank,Q824579,open,,,https://www.bekb.ch/de/corona,https://www.bekb.ch
CH,bank,Credit Suisse,Q372657,partial,,,https://www.credit-suisse.com/ch/de/corona-information/wir-sind-fuer-sie-da/geschaeftsstellen-info.html,
CH,bank,Freiburger Kantonalbank,Q1453871,open,,,https://www.bcf.ch/de/die-fkb/news-und-medien/covid-19,https://www.bcf.ch
CH,bank,Glarner Kantonalbank,Q1529290,open,,,https://www.glkb.ch/%C3%BCber-uns/coronavirus,https://www.glkb.ch
CH,bank,Graubündner Kantonalbank,Q1543702,open,,,https://www.gkb.ch/de/ueber-uns/aktuelles/mitteilungen/coronavirus-kundeninformation,https://www.gkb.ch
CH,bank,Luzerner Kantonalbank,Q1756878,open,,,https://www.lukb.ch/de/coronavirus,https://www.lukb.ch
CH,bank,Migros Bank,Q1593349,open,,,https://www.migrosbank.ch/de/coronavirus.html,https://www.migrosbank.ch
CH,bank,Nidwaldner Kantonalbank,Q1987417,open,,,https://www.nkb.ch/corona,https://www.nkb.ch
CH,bank,Obwaldner Kantonalbank,Q1291630,open,,,https://www.owkb.ch/ueber_uns/coronavirus.htm,https://www.owkb.ch
CH,bank,Raiffeisen,Q681189,partial,,Nur in dringenden fällen auf Voranmeldung,https://www.raiffeisen.ch/cham-steinhausen/de/privatkunden/5-tipps-in-zeiten-von-corona.html?cid=corona:privat-211c:raiffeisen:mc-int-header:corona,
CH,bank,Schaffhauser Kantonalbank,Q2230058,open,,,https://www.shkb.ch/,https://www.shkb.ch/
CH,bank,Schwyzer Kantolbank,Q2257957,open,,,https://www.szkb.ch/pub/ueber-die-szkb/servicezentrum/informieren/coronavirus,https://www.szkb.ch
CH,bank,St.Galler Kantonalbank,Q2316809,open,,,https://www.sgkb.ch/de/coronavirus,https://www.sgkb.ch
CH,bank,Thurgauer Kantonalbank,Q2430020,open,,,https://www.tkb.ch/private/coronavirus,https://www.tkb.ch
CH,bank,UBS,Q193199,partial,,,https://www.ubs.com/ch/de/help/covid-info.html,
CH,bank,Urner Kantonalbank,Q17051583,open,,,https://www.ukb.ch/unsere-bank/portrait/aktueller-bankbetrieb/,https://www.ukb.ch
CH,bank,Walliser Kantonalbank,Q2543025,open,,,https://www.bcvs.ch/,https://www.bcvs.ch/
CH,bank,Zuger Kantonalbank,Q228365,open,,,https://www.zugerkb.ch/die-zugerkb/zuger-kantonalbank/coronavirus,https://www.zugerkb.ch
CH,bank,Zürcher Kantonalbank,Q248476,open,,,https://www.zkb.ch/de/gs/lp/pandemie-kundeninformation.html,https://www.zkb.ch
CH,chemist,Amavita,,open,,,https://www.amavita.ch/de/info-covid19,https://www.amavita.ch/de/storepickup
CH,chemist,Dropa,Q1260273,open,,,https://dropa.ch/ratgeber/alle-dropa-drogerien-und-apotheken-sind-geoeffnet,https://dropa.ch
CH,chemist,TopPharm,,open,,,,https://www.toppharm.ch/hauslieferdienst
CH,doityourself,Bauhaus,Q672043,partial,,,https://www.bauhaus.ch/de/content/aktuelles/aktuelle-situation.html,https://www.bauhaus.ch
CH,doityourself,Coop Bau + Hobby,Q432564,partial,,,,https://www.bauundhobby.ch/
CH,doityourself,Do it & Garden,Q680727,partial,,,https://www.doitgarden.ch/de/cp/aktuell,https://www.doitgarden.ch
CH,doityourself,Hornbach,Q685926,partial,,,https://www.hornbach.ch/aktuelles/aktuelle-informationen/,https://www.hornbach.ch/
CH,doityourself,Jumbo,,partial,,,https://www.jumbo.ch/de/coronavirus-info,https://www.jumbo.ch/de
CH,doityourself,Landi,Q1803010,partial,,,https://www.landi.ch/laden/service/Haeufig-gestellte-Fragen-FAQ,https://www.landi.ch/places/de
CH,doityourself,OBI,Q300518,partial,,,,https://www.obi.ch/
CH,electronics,Inter Discount,,closed,,,https://www.interdiscount.ch/de,
CH,electronics,melectronics,,closed,,,https://www.melectronics.ch/de,
CH,fuel,Shell,Q154950,open,,,,
