tag,summary,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,SH,ST,TH
amenity=bank,all,Banken,Banken,Banken,Banken und Sparkassen,Banken und Sparkassen,Banken und Sparkassen,Banken und Sparkassen,Banken und Sparkassen,Banken und Sparkassen,Banken und Sparkassen,Banken und Sparkassen,Banken,"Banken, Sparkassen",Banken und Sparkassen,Banken und Sparkassen,Banken und Sparkassen
amenity=car_parts,few,?,?,?,?,?,?,?,?,KFZ-Ersatzteilhandel,?,?,?,?,Autoteile- und Zubehörverkauf,Kfz‐Teileverkaufsstellen,Kfz-Teileverkaufsstellen
amenity=car_rental,few,?,?,?,?,?,?,?,?,Autovermietungen,?,?,?,?,Autovermietung,?,?
amenity=car_repair,few,?,Kfz-Werkstätten,?,?,?,Reparaturbetriebe für Fahrzeuge,?,?,KFZ-Werkstätten,?,?,?,Kfz-Werkstätten,Kfz-Werkstätten,?,?
amenity=car_sharing,few,?,?,?,?,?,?,?,?,?,?,?,?,?,Car-Sharing,?,?
amenity=fast_food,few,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Einzelverkaufsstände für Lebensmittel
amenity=fuel,all,Tankstellen,Tankstellen,Tankstellen,Tankstellen,Tankstellen,Tankstellen,Tankstellen,Tankstellen,Tankstellen,Tankstellen,Tankstellen,Tankstellen,Tankstellen,Tankstellen,Tankstellen,Tankstellen
amenity=marketplace,most,Wochenmärkte,?,?,Wochenmärkte,Wochenmärkte,Verkaufsstände auf Wochenmärkten,Wochenmärkte,Wochenmärkte,Wochenmärkte,?,Verkaufsstände auf Wochenmärkte,Wochenmärkte,?,Wochenmärkte,Wochenmärkte,Wochenmärkte
amenity=pharmacy,all,Apotheken,Apotheken,Apotheken,Apotheken,Apotheken,Apotheken,Apotheken,Apotheken,Apotheken,Apotheken,Apotheken,Apotheken,Apotheken,Apotheken,Apotheken,Apotheken
amenity=post_office,most,?,Post,?,Poststellen,Poststellen,Poststellen,Poststellen,Poststellen,Poststellen,Poststellen,Poststellen,Post,Wochenmärkte,"Poststellen, Postagenturen und Paketstationen",Post- und Paketstellen,Filialen der Deutschen Post AG und Paketstellen
delivery=yes,most,?,Lieferung,Lieferdienste,Lieferdienste,Auslieferung,Lieferdienste,Lieferdienste,Lieferdienste,Lieferdienste,Lieferdienste,Liefer- und Bringdienste,Lieferung von Speisen,?,LIeferdienste,Abhol‐ und Lieferdienste,Außerhausverkauf von Gaststätten
pickup=yes,most,?,Angebote to go,Abholdienste,Abholdienste,Außer-Haus-Verkauf,Abholdienste,Abholdienste,Abholdienste,"Abholdienste, Außer-Haus-Verkauf",Abholdienste,Abholdienste,Abgabe von Speisen,?,"Abholdienste, Außer-Haus-Verkauf",Abhol‐ und Lieferdienste,Außerhausverkauf von Gaststätten
shop=agrarian,few,?,?,?,?,?,?,?,?,Geschäfte des Landhandels,Direktvermarktungen von landwirtschaftlichen Betrieben,?,?,?,Landhandel,?,?
shop=alcohol,all,Getränkehandlungen,Getränkemärkte,Einzelhandel für Getränke,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Spezialisierter Lebensmitteleinzelhandel,Getränkemärkte,Getränkemärkte
shop=bakery,all,Bäckereien,Lebensmittelhandel,"Einzelhandel für Lebensmittel ",Einzelhandel für Lebensmittel,Lebensmittelgeschäfte,Einzelhandel für Lebensmittel,Geschäfte des Lebensmittelhandwerks,Einzelhandelsbetriebe für Lebensmittel,Bäckereien,Einzelhandel für Lebensmittel,Einzelhandelsbetriebe für Lebensmittel,Lebensmittelhandel,Einzelhandel für Lebensmittel,Bäckereien,Lebensmittelhandel,Lebensmittelhandel
shop=beverages,all,Getränkehandlungen,Getränkemärkte,Einzelhandel für Getränke,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte,Getränkemärkte
shop=bicycle,few,?,?,Fahrradgeschäfte,?,?,Reparaturbetriebe für Fahrzeuge,?,?,"Fahrradreparatur, -ersatzteilhandel",?,?,?,Fahrradwerkstätten,Fahrradwerkstätten,?,Fahrrad-Teileverkaufsstellen
shop=books,few,Buch- und Zeitungsverkauf?,?,Buchhandel,?,?,?,?,?,Buchläden,?,?,?,?,?,?,?
shop=butcher,all,Metzgereien,Lebensmittelhandel,"Einzelhandel für Lebensmittel ",Einzelhandel für Lebensmittel,Lebensmittelgeschäfte,Einzelhandel für Lebensmittel,Geschäfte des Lebensmittelhandwerks,Einzelhandelsbetriebe für Lebensmittel,Einzelhandel für Lebensmittel,Einzelhandel für Lebensmittel,Einzelhandelsbetriebe für Lebensmittel,Lebensmittelhandel,Einzelhandel für Lebensmittel,Metzgereien,Lebensmittelhandel,Lebensmittelhandel
shop=chemist,all,Drogerien,Drogerien,Drogerien,Drogerien,Drogerien,Drogerien,Drogerien,Drogerien,Drogerien,?,Drogerien,Drogeriemärkte,Drogerien,Drogerien,Drogerien,Drogerien
shop=convenience,all,Supermärkte,Lebensmittelhandel,Spätverkaufstellen,Einzelhandel für Lebensmittel,Lebensmittelgeschäfte,Einzelhandel für Lebensmittel,"Lebensmitteleinzelhandel, Reformhäuser",Einzelhandelsbetriebe für Lebensmittel,Einzelhandel für Lebensmittel,Einzelhandel für Lebensmittel,Einzelhandelsbetriebe für Lebensmittel,Lebensmittelhandel,Einzelhandel für Lebensmittel,Spezialisierter Lebensmitteleinzelhandel,Lebensmittelhandel,Lebensmittelhandel
shop=deli,most,?,Lebensmittelhandel,Einzelhandel für Lebensmittel,Einzelhandel für Lebensmittel,Lebensmittelgeschäfte,Einzelhandel für Lebensmittel,Feinkostgeschäfte,Einzelhandelsbetriebe für Lebensmittel,Einzelhandel für Lebensmittel,Einzelhandel für Lebensmittel,Einzelhandelsbetriebe für Lebensmittel,Lebensmittelhandel,Einzelhandel für Lebensmittel,Spezialisierter Lebensmitteleinzelhandel,?,Lebensmittelhandel
shop=doityourself,most,Baumärkte,?,Baumärkte,Bauhandel,Baumärkte,Baubedarfsmärkte,Baumärkte,?,Baumärkte,?,Baumärkte,Baumärkte,?,"Baumärkte, Raiffeisenmärkte",Bau‐ und Gartenmärkte,Bau- und Gartenmärkte
shop=dry_cleaning,most,Waschsalons,Reinigungen,Reinigungen,Reinigungen,Reinigungen,Reinigungen,Reinigungen,?,Reinigungen,Reinigungen,Reinigungen,Reinigungen,Reinigungen,Textilreinigung,Reinigungen,Reinigungen
shop=farm,all,Hofläden,Lebensmittelhandel,"Einzelhandel für Lebensmittel ",Einzelhandel für Lebensmittel,Lebensmittelgeschäfte,Einzelhandel für Lebensmittel,Direktverkauf vom Lebensmittelerzeuger,Einzelhandelsbetriebe für Lebensmittel,?,Direktvermarktungen von landwirtschaftlichen Betrieben,Einzelhandelsbetriebe für Lebensmittel,Lebensmittelhandel,Hofläden,Hofläden,?,Hofläden
shop=florist,few,?,?,?,?,?,?,Blumenläden,Blumenläden,Blumenläden,?,?,?,?,?,?,Floristikgeschäfte
shop=funeral_directors,few,?,?,?,?,?,?,?,?,?,?,?,?,?,Bestatter,?,?
shop=garden_centre,most,Einzelhandel für Gartenbau,?,Einzelhandel für Gartenbau,Gartenhandel,Gartenbaumärkte,Gartenbaubedarfsmärkte,Gartenbaumärkte,?,"Gartenbaumärkte, Gärtnerei",?,Gartenbaumärkte,Gartenbaumärkte,Gartenbaubetriebe,Gartenbaubedarf,Bau‐ und Gartenmärkte,Bau- und Gartenmärkte
shop=hardware,most,Baumärkte,?,Einzelhandel für Bau,Bauhandel,Baumärkte,Baubedarfsmärkte,Baumärkte,?,Baumärkte,?,Baumärkte,Baumärkte,?,"Baumärkte, Baustoffhandel, Raiffeisenmärkte",Bau‐ und Gartenmärkte,Bau- und Gartenmärkte
shop=hearing_aids,all,Hörhilfen,Hörgeräteakustiker,Erwerb von Hörhilfen,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Hörgeräteakustiker,Sanitätshäuser,Hörgeräteakustiker,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Hörakustiker,Hörgeräteakustiker,Hörgeräteakustiker
shop=kiosk,all,Buch- und Zeitungsverkauf,"Verkauf von Presseartikeln ",Zeitungsverkauf,Zeitungsverkauf,Kioske,Stellen des Zeitungs- und Zeitschriftenverkaufs,Zeitungsverkauf,Zeitungsverkauf,Kioske,Kioske,Zeitungs- und Zeitschriftenverkauf,Zeitungskioske,Zeitungsverkauf,"Kioske, Zeitungs- und Zeitschriftenverkauf",Zeitungs‐ und Zeitschriftenhandel,Zeitungs- und Tabakwarengeschäfte
shop=laundry,most,Waschsalons,?,Waschsalons,Waschsalons,Waschsalons,Waschsalons,Reinigungen,?,Waschsalons,Waschsalons,Waschsalons,Waschsalons,Waschsalons,Waschsalons,Waschsalons,Wäschereien
shop=locksmith,few,?,?,?,?,?,?,?,?,?,?,?,?,?,Schlüsselreparatur,?,?
shop=medical_supply,all,Sanitätsbedarf,Sanitätshäuser,Sanitätsbedarf,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser
shop=mobile_phone,few,,?,?,?,?,?,?,?,?,?,?,?,?,Servicestellen von Telekommunikationsunternehmen,?,?
shop=newsagent,all,Buch- und Zeitungsverkauf,"Verkauf von Presseartikeln ",Zeitungsverkauf,Zeitungsverkauf,Zeitungsverkaufsstellen,Stellen des Zeitungs- und Zeitschriftenverkaufs,Zeitungsverkauf,Zeitungsverkauf,Zeitungsverkauf,Zeitungsverkaufsstellen,Zeitungs- und Zeitschriftenverkauf,Zeitungskioske,Zeitungsverkauf,Zeitungs- und Zeitschriftenverkauf,Zeitungs‐ und Zeitschriftenhandel,Zeitungs- und Tabakwarengeschäfte
shop=opticien,all,Sehhilfen,Optiker,Erwerb von Sehhilfen,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Optiker,Sanitätshäuser,Optiker,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Sanitätshäuser,Augenoptiker,Optiker,Optiker
shop=pet,all,Geschäfte für Tiernahrung,Tierbedarf,Einzelhandel für Tierbedarf,Tierbedarfshandel,Tierbedarfshandel,Tierbedarfsmärkte,Futtermittelhandel,Tierbedarfsmärkte,Tierbedarfsmärkte,Tierbedarfsmärkte,Tierbedarfsmärkte,Tierbedarfshandel,Tierbedarfsmärkte,Tierbedarf,Tierbedarf,Tierbedarf
shop=pet_grooming,few,?,?,?,?,?,?,?,?,?,?,?,?,?,Hundefrisöre,?,?
shop=shoe_repair,few,?,?,?,?,?,?,?,?,?,?,?,?,?,Schuhreparatur,?,?
